t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.254123 0.204338 0.761973 1 -0.0010535 -0.000889547 -0.0013733 0 0 0 -0.0632046 -0.0533684 -0.0823913
0.326029 0.247405 0.198666 0.753215 0.83514 0.0976973 0.074362 -0.0295853 -0.0206066 -0.0173997 -0.0268619 -0.00184642 0.081073 0.0979953
0.489827 0.24398 0.197991 0.751444 0.762871 0.142689 0.109029 -0.0390857 -0.020909 -0.00412006 -0.0108105 0.109124 0.019874 0.0756486
0.657967 0.24355 0.19786 0.751765 0.695186 0.187501 0.14012 -0.0459099 -0.00256091 -0.000778443 0.00190905 0.106931 -0.101375 0.0727948
0.794703 0.245199 0.195858 0.753388 0.644595 0.220024 0.164476 -0.0516181 0.0120604 -0.0146401 0.0118627 -0.0761543 0.0770614 -0.0511089
0.96038 0.245106 0.195548 0.75395 0.588204 0.256358 0.191126 -0.0577482 -0.000556667 -0.00187277 0.00339514 -0.00427286 -0.0206283 0.00443869
1.29455 0.244443 0.192618 0.75558 0.489027 0.31883 0.237039 -0.0685654 -0.00198455 -0.00876622 0.00487844 -0.0450194 0.0506411 -0.0263607
1.45978 0.242886 0.192552 0.755667 0.446357 0.346425 0.256864 -0.0734522 -0.00942279 -0.000399146 0.000523052 0.0933741 -0.0468455 0.0101078
1.59526 0.243324 0.191638 0.755923 0.41416 0.366013 0.272255 -0.077043 0.00322819 -0.0067461 0.00189253 -0.0709824 0.0252618 0.00697064
1.76192 0.24189 0.191216 0.756432 0.377723 0.388095 0.288761 -0.081091 -0.00860175 -0.00253595 0.00305425 -0.0061096 -0.0456841 -0.00668463
1.99523 0.239551 0.188137 0.756781 0.332035 0.413286 0.307009 -0.0875676 -0.0100272 -0.0131945 0.00149466 -0.114005 -0.0431555 -0.0742984
2.26273 0.228711 0.18152 0.751864 0.286411 0.428594 0.319269 -0.0992509 -0.0405233 -0.0247385 -0.01838 -0.146335 -0.180864 -0.0405838
2.60583 0.197582 0.151742 0.740781 0.236948 0.421247 0.309072 -0.117584 -0.0907299 -0.086792 -0.0323041 -0.363411 -0.117449 -0.0397771
2.69748 0.186214 0.142801 0.737486 0.225247 0.423088 0.305802 -0.115861 -0.124036 -0.0975559 -0.0359496 0.155212 -0.0611629 0.366235
2.76344 0.178708 0.1361 0.736708 0.217185 0.418466 0.304378 -0.121071 -0.113797 -0.101591 -0.0117906 -0.0385308 0.0416644 0.0295553
2.862 0.167117 0.126491 0.735833 0.205672 0.419771 0.305231 -0.122524 -0.117595 -0.097484 -0.00887747 0.310216 0.311132 0.063301
3.06186 0.156006 0.119436 0.736588 0.184168 0.417901 0.304406 -0.124596 -0.0555965 -0.0353027 0.00377356 -0.299854 -0.276668 -0.0171939
3.43735 0.0928533 0.0671724 0.73558 0.14966 0.374153 0.266075 -0.129855 -0.168188 -0.139188 -0.00268252 0.13371 0.109004 0.0142841
3.8299 0.0474349 0.0293308 0.736728 0.120476 0.347511 0.24275 -0.131881 -0.115699 -0.0963978 0.0029248 -0.150337 -0.101915 0.0067985
4.06271 0.0123513 0.00136517 0.737778 0.105933 0.333396 0.230751 -0.134839 -0.150699 -0.120124 0.00450753 0.732954 0.558662 -0.135961
4.16182 0.00461524 -0.00505277 0.736889 0.100287 0.319171 0.214182 -0.133683 -0.0780518 -0.0647525 -0.00896822 -0.264528 -0.512322 0.100204
4.36212 -0.02163 -0.0385749 0.739113 0.0897798 0.299502 0.187748 -0.13214 -0.131035 -0.167366 0.0111018 0.00791272 0.156736 0.0283952
4.76182 -0.0727408 -0.0804313 0.748086 0.0719876 0.257598 0.17297 -0.124709 -0.127872 -0.104719 0.0224515 -0.144929 0.925582 0.0047656
4.79784 -0.0775344 -0.0830023 0.748901 0.0705691 0.254152 0.154427 -0.123404 -0.133092 -0.071382 0.0226231 -0.0909211 -0.25295 0.0436211
4.86195 -0.0864405 -0.0886181 0.750531 0.0681129 0.20996 0.129308 -0.109151 -0.138921 -0.0875984 0.0254196 -2.27163 -1.40776 0.803883
4.90078 -0.0952627 -0.0941439 0.752731 0.0666667 0.241084 0.148984 -0.120136 -0.227149 -0.142274 0.0566417 0.542435 0.355388 -0.144098
5.09941 -0.11898 -0.108382 0.758296 0.0597371 0.219317 0.136583 -0.117667 -0.11941 -0.0716869 0.0280208 -0.186765 -0.115468 -0.125728
5.23791 -0.139101 -0.120526 0.759765 0.0553358 0.203966 0.127644 -0.116124 -0.145277 -0.0876794 0.0106073 0.0680215 0.0340974 0.00424347
5.76551 -0.196815 -0.157295 0.766543 0.041342 0.156963 0.0975052 -0.110153 -0.109388 -0.0696893 0.0128462 -0.0232669 -0.0733326 0.0460266
6.23207 -0.252916 -0.205772 0.782556 0.0319467 0.110918 0.0549747 -0.0957777 -0.120244 -0.103903 0.0343203 0.274881 0.192661 -0.0988674
6.40001 -0.265357 -0.217787 0.785531 0.0291155 0.0889714 0.050228 -0.0846426 -0.0740801 -0.0715478 0.0177165 -0.652653 0.37247 0.500446
