time x -x y z
0 -8.23248e-10 8.23248e-10 4.17895e-10 -2.9894e-10
0.001 -2.47486e-09 2.47486e-09 1.2609e-09 -9.00707e-10
0.002 -4.95993e-09 4.95993e-09 2.53622e-09 -1.80918e-09
0.003 -8.28355e-09 8.28355e-09 4.25103e-09 -3.02822e-09
0.004 -1.24508e-08 1.24508e-08 6.41251e-09 -4.56169e-09
0.005 -1.74668e-08 1.74668e-08 9.02781e-09 -6.41344e-09
0.006 -2.33365e-08 2.33365e-08 1.21041e-08 -8.58732e-09
0.007 -3.0065e-08 3.0065e-08 1.56484e-08 -1.10872e-08
0.008 -3.76573e-08 3.76573e-08 1.96679e-08 -1.39168e-08
0.009 -4.61184e-08 4.61184e-08 2.41697e-08 -1.708e-08
0.01 -5.54534e-08 5.54534e-08 2.91608e-08 -2.05806e-08
0.011 -6.56672e-08 6.56672e-08 3.46483e-08 -2.44224e-08
0.012 -7.67649e-08 7.67649e-08 4.06393e-08 -2.86092e-08
0.013 -8.87514e-08 8.87514e-08 4.71407e-08 -3.31448e-08
0.014 -1.01632e-07 1.01632e-07 5.41596e-08 -3.8033e-08
0.015 -1.1541e-07 1.1541e-07 6.1703e-08 -4.32774e-08
0.016 -1.30093e-07 1.30093e-07 6.97778e-08 -4.8882e-08
0.017 -1.45684e-07 1.45684e-07 7.83911e-08 -5.48503e-08
0.018 -1.62189e-07 1.62189e-07 8.75497e-08 -6.11862e-08
0.019 -1.79612e-07 1.79612e-07 9.72606e-08 -6.78934e-08
0.02 -1.97958e-07 1.97958e-07 1.07531e-07 -7.49756e-08
0.021 -2.17232e-07 2.17232e-07 1.18367e-07 -8.24365e-08
0.022 -2.37439e-07 2.37439e-07 1.29776e-07 -9.02799e-08
0.023 -2.58584e-07 2.58584e-07 1.41765e-07 -9.85094e-08
0.024 -2.80672e-07 2.80672e-07 1.54341e-07 -1.07129e-07
0.025 -3.03708e-07 3.03708e-07 1.6751e-07 -1.16141e-07
0.026 -3.27695e-07 3.27695e-07 1.8128e-07 -1.25551e-07
0.027 -3.5264e-07 3.5264e-07 1.95657e-07 -1.35362e-07
0.028 -3.78547e-07 3.78547e-07 2.10648e-07 -1.45577e-07
0.029 -4.0542e-07 4.0542e-07 2.2626e-07 -1.56201e-07
0.03 -4.33265e-07 4.33265e-07 2.42499e-07 -1.67236e-07
0.031 -4.62086e-07 4.62086e-07 2.59372e-07 -1.78687e-07
0.032 -4.91889e-07 4.91889e-07 2.76887e-07 -1.90556e-07
0.033 -5.22677e-07 5.22677e-07 2.95049e-07 -2.02848e-07
0.034 -5.54455e-07 5.54455e-07 3.13865e-07 -2.15567e-07
0.035 -5.87229e-07 5.87229e-07 3.33343e-07 -2.28715e-07
0.036 -6.21002e-07 6.21002e-07 3.53489e-07 -2.42297e-07
0.037 -6.5578e-07 6.5578e-07 3.74308e-07 -2.56315e-07
0.038 -6.91567e-07 6.91567e-07 3.95809e-07 -2.70775e-07
0.039 -7.28369e-07 7.28369e-07 4.17998e-07 -2.85678e-07
0.04 -7.66188e-07 7.66188e-07 4.40881e-07 -3.01029e-07
0.041 -8.05031e-07 8.05031e-07 4.64465e-07 -3.16832e-07
0.042 -8.44902e-07 8.44902e-07 4.88756e-07 -3.33089e-07
0.043 -8.85806e-07 8.85806e-07 5.13762e-07 -3.49804e-07
0.044 -9.27746e-07 9.27746e-07 5.39487e-07 -3.66981e-07
0.045 -9.70728e-07 9.70728e-07 5.6594e-07 -3.84624e-07
0.046 -1.01476e-06 1.01476e-06 5.93127e-07 -4.02735e-07
0.047 -1.05984e-06 1.05984e-06 6.21054e-07 -4.21319e-07
0.048 -1.10597e-06 1.10597e-06 6.49727e-07 -4.40379e-07
