Time ['r_upper_arm_roll_joint', 'r_shoulder_pan_joint', 'r_shoulder_lift_joint', 'r_forearm_roll_joint', 'r_elbow_flex_joint', 'r_wrist_flex_joint', 'r_wrist_roll_joint']
98.623 ['-0.09988', '-0.30024', '0.20030', '1.49892', '-1.20079', '-0.29940', '0.49984']
98.732 ['-0.09352', '-0.29083', '0.19037', '1.43151', '-1.15021', '-0.28688', '0.47740']
98.841 ['-0.08514', '-0.26056', '0.17375', '1.28516', '-1.03238', '-0.25711', '0.42849']
98.941 ['-0.07268', '-0.22440', '0.15002', '1.10102', '-0.88518', '-0.22038', '0.36702']
99.042 ['-0.05860', '-0.18152', '0.12124', '0.88554', '-0.71268', '-0.17720', '0.29513']
99.151 ['-0.04287', '-0.13143', '0.08960', '0.64107', '-0.51607', '-0.12781', '0.21360']
99.251 ['-0.02869', '-0.08750', '0.06171', '0.42532', '-0.34216', '-0.10255', '0.14165']
99.361 ['-0.01512', '-0.04496', '0.03377', '0.21952', '-0.17669', '-0.09820', '0.07302']
99.471 ['-0.00516', '-0.01315', '0.02327', '0.07004', '-0.13072', '-0.09018', '0.02317']
99.581 ['-0.00085', '0.00262', '-0.00493', '0.00087', '-0.15809', '-0.09954', '0.00009']
